Name,Longitude,Latitude
Abraham Lincoln Elementary School,-122.7371723,38.4412885
Bellevue Elementary School,-122.7356064,38.3977054
Brooks Elementary School,-122.8128352,38.5578732
Cali Calmécac Language Academy,-122.826564,38.5500885
César Chávez Language Academy,-122.7453101,38.4257334
Cloverdale High School,-123.0221336,38.8111071
Comstock Middle School,-122.7465528,38.4567389
Elsie Allen High Schol,-122.7343714,38.4047185
Forestville Union Elementary School,-122.8870983,38.4737503
Gravenstein Elementary School,-122.7847107,38.3604008
Hamilton Meadow Park School,-122.5295783,38.0543087
Herbert Slater Middle School,-122.6731683,38.4475216
Howell Mountain Elementary School,-122.4496874,38.5831456
JX Wilson Elementary School,-122.74937,38.43307
Kenwood Elementary School,-122.5538016,38.4155804
Luther Burbank Elementary School,-122.7159382,38.4355116
Mariachi Ensemble,-122.7489267,38.4933796
Mark West Charter School,-122.7592906,38.5025189
Mary Collins School @ Cherry Valley,-122.6548317,38.2431797
Montgomery High School,-122.684959,38.4404518
Oak Grove Elementary School,-122.8640168,38.4324317
Old Adobe Elementary Charter School,-122.598062,38.2612993
Olivet Elementary Charter School,-122.8089895,38.4642009
Pathways Charter School,-122.7102843,38.3544294
Piner High School,-122.7691725,38.4610844
Redwood Adventist Academy,-122.740282,38.50211669999999
Riebli Elementary School,-122.7417595,38.5009003
Rio Lindo Adventist Academy,-122.842384,38.6268903
Roseland Accelerated Middle School,-122.7280413,38.4193803
Roseland Collegiate Prep,-122.7398409,38.4952702
Salmon Creek Charter School,-122.9307362,38.388662
San Miguel Elementary School,-122.7595552,38.5142697
Santa Rosa Accelerated Charter School,-122.6713592,38.481083
Santa Rosa Charter School for the Arts,-122.7136595,38.4471747
Schaefer Elementary School,-122.7455306,38.4740377
Steele Lane Elementary Charter,-122.720728,38.461633
Strawberry Elementary School,-122.6613428,38.4346479
Student,-122.7812497,38.5276727
Student,-122.734494,38.444426
Student,-122.7243641,38.4393732
Student,-122.7363342,38.4699122
Student,-122.726365,38.3501577
Student,-122.7140548,38.440429
Student,-122.7260492,38.4134029
Student,-122.7285981,38.4243713
Student,-122.7268463,38.4408289
Student,-122.7383191,38.4497591
Student,-122.7261973,38.438798
Student,-122.6844484,38.3720613
Student,-122.6369516,38.4638852
Student,-122.6369516,38.4638852
Student,-122.9358256,38.4297748
Student,-122.7280904,38.4108312
Student,-122.6734223,38.4395152
Student,-122.7372143,38.4350574
Student,-122.710598,38.395233
Student,-122.744971,38.434645
Student,-122.4850808,38.311136
Student,-122.7579906,38.4684245
Student,-122.7415426,38.4213704
Student,-122.7393725,38.4613002
Student,-122.7393725,38.4613002
Student,-122.7414754,38.4651692
Student,-122.7545057,38.4531867
Student,-123.0288409,38.8134878
Student,-122.7080333,38.4159994
Student,-122.7306109,38.4628125
Student,-122.7268944,38.4368153
Student,-122.6999739,38.4184318
Student,-122.6637579,38.4288203
Student,-122.7460802,38.4212341
Student,-122.7681101,38.45004520000001
Student,-122.7140548,38.440429
Student,-122.7397071,38.4571266
Student,-122.7373816,38.4579587
Student,-122.711804,38.339684
Student,-122.7507129,38.458899
Student,-122.7490606,38.4595451
Student,-122.7687936,38.5094436
Student,-122.7691684,38.486704
Student,-122.749919,38.4647012
Student,-122.7271623,38.40563119999999
Student,-122.490662,38.3194232
Student,-122.6707667,38.4401912
Student,-122.8668777,38.6131895
Student,-123.0196704,38.8096247
Student,-122.7032476,38.3347181
Student,-123.0113092,38.8072441
Student,-122.7268944,38.352608
Student,-122.7246382,38.4186714
Student,-122.7124683,38.4328274
Student,-122.7252303,38.4217344
Student,-122.7204162,38.423012
Student,-122.6955911,38.4380121
Student,-122.729079,38.4390566
Student,-122.7189497,38.4300603
Student,-122.7282619,38.4187223
Student,-122.7339738,38.4396247
Student,-123.0159976,38.7944084
Student,-122.7936603,38.5326479
Student,-122.7410919,38.441869
Student,-122.7335617,38.4408031
Student,-122.83183,38.4039612
Student,-122.7067326,38.4330753
Student,-122.7299382,38.4405727
Student,-122.7269165,38.4536781
Student,-122.800405,38.5464315
Student,-122.8036229,38.5444293
Student,-122.7318276,38.4418942
Student,-122.7398629,38.44007819999999
Student,-123.0172227,38.8054624
Technology High School,-122.6997059,38.3350795
Thomas Page Academy,-122.7250637,38.3295789
West County High School,-122.8270268,38.40788939999999
Whited Elementary Charter,-122.6621374,38.465539
Caritas Village,-122.7192273,38.4409754
