Name of Location (if applicable),Address,City,State,Zipcode,(Sub Categories: School & Family),Full Address,Longitude,Latitude
Loma Vista Immersion Academy,"207 Maria Dr, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"207 Maria Dr, Petaluma, CA 94954 Petaluma CA",-122.6269507,38.2557572
Sonoma Country Day School,"4400 Day School Pl, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"4400 Day School Pl, Santa Rosa, CA 95403 Santa Rosa CA",-122.7877307,38.516932
Hillcrest Middle School,"725 Bloomfield Rd, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"725 Bloomfield Rd, Sebastopol, CA 95472 Sebastopol CA",-122.805482,38.37012199999999
Olivet Charter School,"1825 Willowside Rd, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"1825 Willowside Rd, Santa Rosa, CA 95401 Santa Rosa CA",-122.8089895,38.4642009
Orchard View School,"700 Watertrough Rd, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"700 Watertrough Rd, Sebastopol, CA 95472 Sebastopol CA",-122.8535094,38.3881643
Strawberry Elementary School,"2311 Horseshoe Dr, Santa Rosa, CA 95405",Santa Rosa,CA,95405,School Shows,"2311 Horseshoe Dr, Santa Rosa, CA 95405 Santa Rosa CA",-122.6613428,38.4346479
Evergreen Elementary School,"1125 Emily Ave, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"1125 Emily Ave, Rohnert Park, CA 94928 Rohnert Park CA",-122.6902075,38.356685
McKinley Elementary School,"111 Ellis St, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"111 Ellis St, Petaluma, CA 94952 Petaluma CA",-122.6328125,38.2451995
Spring Lake Middle School,"4676 Mayette Ave, Santa Rosa, CA 95405",Santa Rosa,CA,95405,School Shows,"4676 Mayette Ave, Santa Rosa, CA 95405 Santa Rosa CA",-122.6659962,38.4441182
Liberty Elementary School,"170 Liberty School Rd, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"170 Liberty School Rd, Petaluma, CA 94952 Petaluma CA",-122.7061959,38.2787482
Monroe Elementary School,"2568 Marlow Rd, Santa Rosa, CA 95404",Santa Rosa,CA,95404,School Shows,"2568 Marlow Rd, Santa Rosa, CA 95404 Santa Rosa CA",-122.7514458,38.457026
Madrone Elementary School,"4550 Rinconada Dr, Santa Rosa, CA 95409",Santa Rosa,CA,95409,School Shows,"4550 Rinconada Dr, Santa Rosa, CA 95409 Santa Rosa CA",-122.6740107,38.46863829999999
Roseland Creek Elementary School,"1683 Burbank Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"1683 Burbank Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7355533,38.4231445
Taylor Mountain Elementary School,"1210 E Bellevue Way, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"1210 E Bellevue Way, Santa Rosa, CA 95407 Santa Rosa CA",-122.7140548,38.440429
Forestville Elementary School,"6321 Hwy 116, Forestville, CA 95436",Forestville,CA,95436,School Shows,"6321 Hwy 116, Forestville, CA 95436 Forestville CA",-122.8870983,38.4737503
Woodland Star Charter School,"17811 Arnold Dr, Sonoma, CA 95476",Sonoma,CA,95476,School Shows,"17811 Arnold Dr, Sonoma, CA 95476 Sonoma CA",-122.4955458,38.3127372
Santa Rosa Charter School for the Arts,"756 Humboldt St, Santa Rosa, CA 95404",Santa Rosa,CA,95404,School Shows,"756 Humboldt St, Santa Rosa, CA 95404 Santa Rosa CA",-122.7136595,38.4471747
Castle Preschool,"7450 Bodega Ave, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"7450 Bodega Ave, Sebastopol, CA 95472 Sebastopol CA",-122.8299574,38.4003655
Mark West Charter School,"5350 Faught Rd, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"5350 Faught Rd, Santa Rosa, CA 95403 Santa Rosa CA",-122.7595552,38.5142697
Penngrove Elementary School,"365 Adobe Rd, Penngrove, CA 94951",Penngrove,CA,94951,School Shows,"365 Adobe Rd, Penngrove, CA 94951 Penngrove CA",-122.6680522,38.3001133
Windsor High School,"8695 Windsor Rd, Windsor, CA 95492",Windsor,CA,95492,School Shows,"8695 Windsor Rd, Windsor, CA 95492 Windsor CA",-122.8176174,38.5421435
Cali Calmécac Language Academy,"9491 Starr Rd, Windsor, CA 95492",Windsor,CA,95492,School Shows,"9491 Starr Rd, Windsor, CA 95492 Windsor CA",-122.826564,38.5500885
Schaefer Charter School,"1370 San Miguel Rd, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"1370 San Miguel Rd, Santa Rosa, CA 95403 Santa Rosa CA",-122.7457488,38.4745819
McDowell Elementary School,"421 S McDowell Blvd, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"421 S McDowell Blvd, Petaluma, CA 94954 Petaluma CA",-122.6202828,38.2467186
Sequoia Elementary School,"5305 Dupont Dr, Santa Rosa, CA 95409",Santa Rosa,CA,95409,School Shows,"5305 Dupont Dr, Santa Rosa, CA 95409 Santa Rosa CA",-122.6529556,38.4698037
Redwood Adventist Academy,"385 Mark West Springs Rd, Santa Rosa, CA 95404",Santa Rosa,CA,95404,School Shows,"385 Mark West Springs Rd, Santa Rosa, CA 95404 Santa Rosa CA",-122.740282,38.50211669999999
La Tercera Elementary School,"1600 Albin Way, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"1600 Albin Way, Petaluma, CA 94954 Petaluma CA",-122.6087124,38.2465514
SCOE - Special Education,"8511 Liman Way, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"8511 Liman Way, Rohnert Park, CA 94928 Rohnert Park CA",-122.6921272,38.3252619
Healdsburg Elementary School - HES Campus,"400 1st St, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"400 1st St, Healdsburg, CA 95448 Healdsburg CA",-122.8613735,38.6131005
The REACH School,"487 Watertrough Rd, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"487 Watertrough Rd, Sebastopol, CA 95472 Sebastopol CA",-122.8504693,38.3913272
Healdsburg Charter School - HES Campus,"400 1st St, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"400 1st St, Healdsburg, CA 95448 Healdsburg CA",-122.8613735,38.6131005
Jack London Elementary School,"2707 Francisco Ave, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"2707 Francisco Ave, Santa Rosa, CA 95403 Santa Rosa CA",-122.7650564,38.4798227
Victory Christian Academy,"4585 Badger Rd, Santa Rosa, CA 95409",Santa Rosa,CA,95409,School Shows,"4585 Badger Rd, Santa Rosa, CA 95409 Santa Rosa CA",-122.6748162,38.483296
Meadow Elementary School,"880 Maria Dr, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"880 Maria Dr, Petaluma, CA 94954 Petaluma CA",-122.6445787,38.26611370000001
Kid Street Learning Center,"709 Davis St, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"709 Davis St, Santa Rosa, CA 95401 Santa Rosa CA",-122.7220634,38.4409933
Cross & Crown Lutheran School,"5475 Snyder Ln, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"5475 Snyder Ln, Rohnert Park, CA 94928 Rohnert Park CA",-122.6864071,38.3398132
Forestville Academy,"6321 Hwy 116, Forestville, CA 95436",Forestville,CA,95436,School Shows,"6321 Hwy 116, Forestville, CA 95436 Forestville CA",-122.8870983,38.4737503
Adele Harrison Middle School,"1150 Broadway, Sonoma, CA 95476",Sonoma,CA,95476,School Shows,"1150 Broadway, Sonoma, CA 95476 Sonoma CA",-122.4587847,38.2796139
Two Rock Union School,"5001 Spring Hill Rd, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"5001 Spring Hill Rd, Petaluma, CA 94952 Petaluma CA",-122.7787807,38.2551858
Salmon Creek Harmony ARK,"1935 Bohemian Hwy, Occidental, CA 95465",Occidental,CA,95465,School Shows,"1935 Bohemian Hwy, Occidental, CA 95465 Occidental CA",-122.9307362,38.388662
Grant Elementary School,"200 Grant Ave, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"200 Grant Ave, Petaluma, CA 94952 Petaluma CA",-122.6302182,38.2203968
Sonoma Mountain Elementary School,"1900 Rainier Cir, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"1900 Rainier Cir, Petaluma, CA 94954 Petaluma CA",-122.6293793,38.2672943
University Elementary at La Fiesta,"8511 Liman Way, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"8511 Liman Way, Rohnert Park, CA 94928 Rohnert Park CA",-122.6921272,38.3252619
The Little School House Inc.,"270 Mark West Station Rd, Windsor, CA 95492",Windsor,CA,95492,School Shows,"270 Mark West Station Rd, Windsor, CA 95492 Windsor CA",-122.7748124,38.5144088
Bellevue Elementary School,"3223 Primrose Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"3223 Primrose Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7356064,38.3977054
Geyserville Elementary School,"21486 Geyserville Ave, Geyserville, CA 95442",Geyserville,CA,95442,School Shows,"21486 Geyserville Ave, Geyserville, CA 95442 Geyserville CA",-122.5259596,38.3747503
Whited Elementary School,"4995 Sonoma Hwy, Santa Rosa, CA 95409",Santa Rosa,CA,95409,School Shows,"4995 Sonoma Hwy, Santa Rosa, CA 95409 Santa Rosa CA",-122.6621374,38.465539
Biella Elementary School,"2140 Jennings, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"2140 Jennings, Santa Rosa, CA 95401 Santa Rosa CA",-122.7553436,38.4496506
Roseland Elementary School,"950 Sebastopol Rd, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"950 Sebastopol Rd, Santa Rosa, CA 95407 Santa Rosa CA",-122.7302724,38.4286889
César Chávez Language Academy,"2750 W Steele Ln, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"2750 W Steele Ln, Santa Rosa, CA 95403 Santa Rosa CA",-122.7465528,38.4567389
Corona Creek Elementary School,"1851 Hartman Ln, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"1851 Hartman Ln, Petaluma, CA 94954 Petaluma CA",-122.6483423,38.2756902
Sheppard Accelerated Elementary School,"1777 West Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"1777 West Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7280413,38.4193803
Monte Rio Union School,"20700 Foothill Dr, Monte Rio, CA 95462",Monte Rio,CA,95462,School Shows,"20700 Foothill Dr, Monte Rio, CA 95462 Monte Rio CA",-123.0148319,38.4717579
Petaluma Accelerated Charter School,"110 Ellis St, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"110 Ellis St, Petaluma, CA 94952 Petaluma CA",-122.6337506,38.2441147
Dunbar Elementary School,"11700 Dunbar Rd, Glen Ellen, CA 95442",Glen Ellen,CA,95442,School Shows,"11700 Dunbar Rd, Glen Ellen, CA 95442 Glen Ellen CA",-122.5261182,38.3870657
Wright Charter School,"4389 Price Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"4389 Price Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7738424,38.4195544
J.X. Wilson Elementary School,"246 Brittain Ln, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"246 Brittain Ln, Santa Rosa, CA 95401 Santa Rosa CA",-122.74937,38.43307
West Side Union School,"1201 Felta Rd, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"1201 Felta Rd, Healdsburg, CA 95448 Healdsburg CA",-122.8837289,38.5801095
Cardinal Newman High School,"4320 Old Redwood Hwy, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"4320 Old Redwood Hwy, Santa Rosa, CA 95403 Santa Rosa CA",-122.7391123,38.490942
Marguerite Hahn Elementary School,"825 Hudis St, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"825 Hudis St, Rohnert Park, CA 94928 Rohnert Park CA",-122.6944879,38.36503889999999
Cinnabar Elementary School & District,"2750 W Steele Ln, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"2750 W Steele Ln, Santa Rosa, CA 95403 Santa Rosa CA",-122.7465528,38.4567389
John Reed Elementary School,"390 Arlen Dr, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"390 Arlen Dr, Rohnert Park, CA 94928 Rohnert Park CA",-122.7059604,38.340672
Roseland Collegiate Prep,"80 Ursuline Rd, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"80 Ursuline Rd, Santa Rosa, CA 95403 Santa Rosa CA",-122.7398409,38.4952702
Roseland Accelerated Middle School,"1777 West Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"1777 West Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7280413,38.4193803
Helen Lehman Elementary School,"1700 Jennings Ave, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"1700 Jennings Ave, Santa Rosa, CA 95401 Santa Rosa CA",-122.7435195,38.4490968
